"시설년도","위치코드","시설구분1","시설구분2","쉼터명칭","도로명주소","지번주소","시설면적","이용가능인원","비고","경도","위도","X좌표(EPSG:5186)","Y좌표(EPSG:5186)"
"2026","1156055000","특정계층이용시설","회원이용시설","쌍용예가아파트경로당","서울특별시 영등포구 당산로31길 32 (당산동쌍용예가클래식 경비동)","서울특별시 영등포구 당산동3가 559","","","","126.8937550","37.5276260","190608.69955264","547575.56252971"
"2026","1156055000","특정계층이용시설","회원이용시설","당산동현대아파트경로당","서울특별시 영등포구 당산로 95 (현대아파트 노인정)","서울특별시 영등포구 당산동2가 164-2","","","","126.8952710","37.5240650","190742.26314104","547180.18550187"
"2026","1156055000","특정계층이용시설","회원이용시설","대우아파트경로당","서울특별시 영등포구 영등포로 106 (대우아파트 101동)","서울특별시 영등포구 당산동2가 16-1","","","","126.8929750","37.5210950","190538.92837686","546850.78103055"
"2026","1156055000","특정계층이용시설","회원이용시설","진로아파트경로당","서울특별시 영등포구 당산로 68 (진로아파트 노인정)","서울특별시 영등포구 당산동1가 16-1","","","","126.8963140","37.5206650","190834.04538381","546802.72584623"
"2026","1156055000","특정계층이용시설","회원이용시설","당산코오롱아파트경로당","서울특별시 영등포구 영등포로28길 5 (당산동코오롱주.상복합아파트)","서울특별시 영등포구 당산동1가 9-1","","","","126.8994770","37.5199630","191113.57482962","546724.50916603"
"2026","1156055000","특정계층이용시설","회원이용시설","신동아파밀리에아파트경로당","서울특별시 영등포구 영신로33길 3 (당산동 신동아 파밀리에아파트 101동)","서울특별시 영등포구 당산동1가 457","","","","126.9004640","37.5199120","191200.82154863","546718.75603118"
"2026","1156055000","공공시설","복지?문화?체육시설","당산1동작은도서관","서울특별시 영등포구 양산로23길 11","서울특별시 영등포구 당산동3가 250","60.00","22","","126.8974255","37.5250160","190932.82978064","547285.52480041"
"2026","1156055000","공공시설","공공청사","당산1동주민센터","서울특별시 영등포구 양산로23길 11 (당산동3가)","서울특별시 영등포구 당산동3가 259","77.00","23","","126.8972987","37.5251328","190921.63532480","547298.50037704"
"2026","1156055000","특정계층이용시설","회원이용시설","구립당산3가경로당","서울특별시 영등포구 당산로29길 9","서울특별시 영등포구 당산동3가 407","132.00","30","","126.8939000","37.5260000","190621.31295899","547395.08223849"
"2026","1156055000","특정계층이용시설","회원이용시설","구립당산1가경로당","서울특별시 영등포구 영등포로29길 13","서울특별시 영등포구 당산동1가 150-1","287.00","35","","126.9002000","37.5221000","191177.74104523","546961.62135483"
"2026","1156055000","특정계층이용시설","회원이용시설","구립당산1동경로당","서울특별시 영등포구 영등포로25길 24","서울특별시 영등포구 당산동1가 223-18","135.00","30","","126.8985000","37.5231000","191027.58179795","547072.76965130"
"2026","1156055000","특정계층이용시설","회원이용시설","SH아파트경로당","서울특별시 영등포구 영신로 183","서울특별시 영등포구 당산동3가 562","71.00","35","","126.9014215","37.5244939","191285.99935685","547227.20052059"
"2026","1156056000","공공시설","복지?문화?체육시설","노동자종합지원센터","서울특별시 영등포구 버드나루로23길 24","서울특별시 영등포구 당산동 171-40","","5","","126.9066060","37.5287150","191744.75661397","547695.22253208"
"2026","1156056000","공공시설","복지?문화?체육시설","영등포제2스포츠센터","서울특별시 영등포구 국회대로 615 (영등포제2스포츠센터)","서울특별시 영등포구 당산동4가 96-1","174.32","12","","126.9027380","37.5266690","191402.62307918","547468.48842078"
"2026","1156056000","특정계층이용시설","회원이용시설","당산2차효성타운아파트경로당","서울특별시 영등포구 당산로42길 7 (당산2차 효성타운 201동)","서울특별시 영등포구 당산동5가 13","","","","126.9007990","37.5312550","191231.76390358","547977.65666661"
"2026","1156056000","특정계층이용시설","회원이용시설","성원아파트경로당","서울특별시 영등포구 양평로 57 (성원아파트 노인정)","서울특별시 영등포구 당산동5가 40","","","","126.8996480","37.5345290","191130.41634427","548341.13832653"
"2026","1156056000","특정계층이용시설","회원이용시설","롯데캐슬프레스티지아파트경로당","서울특별시 영등포구 영신로 237 (당산 롯데캐슬 프레스티지 102동)","서울특별시 영등포구 당산동4가 99","","","","126.9025160","37.5289280","191383.25945738","547719.22972864"
"2026","1156056000","특정계층이용시설","회원이용시설","당산강변래미안아파트경로당","서울특별시 영등포구 버드나루로 130 (강변삼성래미안아파트 303동)","서울특별시 영등포구 당산동 376","","","","126.9081640","37.5299610","191882.60575616","547833.37751211"
"2026","1156056000","특정계층이용시설","회원이용시설","당산효성1차아파트경로당","서울특별시 영등포구 당산로42길 13 (당산동1차 효성아파트)","서울특별시 영등포구 당산동5가 12","","","","126.9018400","37.5307650","191323.71968571","547923.17617056"
"2026","1156056000","특정계층이용시설","회원이용시설","삼성2차아파트경로당","서울특별시 영등포구 당산로36길 12 (당산2차삼성아파트 노인정,관리사무소)","서울특별시 영등포구 당산동4가 94-1","","","","126.8983070","37.5278430","191011.09004731","547599.20208456"
